,title,year,genre,country,url,poster-path,description,vote_average,vote_count,tmdb-poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
866,Silk & Steel,2001,Action,JAPAN,https://rarefilmm.com/2020/11/silk-steel-2001/,https://rarefilmm.com/wp-content/uploads/2020/11/silksteel.jpg,A pair of Tokyo policewomen who pack their own brand of “deadly weapons” do some serious undercover work as they take on the toughest cases the department has to offer in this steamy mix of cop action and softcore drama.,2.7,3.0,https://image.tmdb.org/t/p/original/4fdCLDFrErF3JgfvYHOln77CLwI.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
867,Kyôsô jôshi-kô,1969,Drama,JAPAN,https://rarefilmm.com/2020/11/kyoso-joshi-ko-1969/,https://rarefilmm.com/wp-content/uploads/2019/12/Running-in-Madness.jpg,"While clashes between demonstrators and police are raging in the streets of Tokyo, a young man takes refuge at his policeman brother’s house. The two brothers soon come to blows, but the intervention of the policeman’s wife leads to the death of her husband by his own gun. The young man and the wife cover up the murder by making it look like a suicide. They become lovers and flee north into the Tohoku area, as if they were being pursued by the ghost of the murdered husband, their sexual passion and the pulse of the changing times.",6.4,5.0,https://image.tmdb.org/t/p/original/yWuADQ9xyjk2BnhqEkV2S0Aoyi7.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
868,Captain Eddie,1945,Biography,USA,https://rarefilmm.com/2020/11/captain-eddie-1945/,https://rarefilmm.com/wp-content/uploads/2020/11/capteddie.jpg,"WWI flyer Eddie Rickenbaker remembers his life which brought him from a car salesman, race driver and pilot in WWI, to an important person in the early years of civil airline service, after his plane crashed in the South Pacific in late 1942.",6.0,1.0,https://image.tmdb.org/t/p/original/3FmG1uDh0Qo4OitfABffUpLGq2L.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
869,The Blonde from Singapore,1941,Adventure,USA,https://rarefilmm.com/2020/11/the-blonde-from-singapore-1941/,https://rarefilmm.com/wp-content/uploads/2020/11/blondesingapore.jpg,"Fortune hunter Mary Brooks, posing as a missionary’s daughter, strives to beat a couple of pilots, Terry Prescott and “Waffles” Billings, (who have turned pearl divers in order to buy a plane and join the Royal Air Force), out of their pearls, while also beating off the advances of Prince Sali who wants to add her to his harem.",6.0,1.0,https://image.tmdb.org/t/p/original/p4ESmCmLRcHW9cnB0hfBTaXH1Vu.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,Stork Bites Man,1947,Comedy,USA,https://rarefilmm.com/2020/11/stork-bites-man-1947/,https://rarefilmm.com/wp-content/uploads/2020/11/storkbites.jpg,"Ernie, manager of an apartment house that allows no children, finds himself evicted when his wife, Peg, becomes pregnant. With the help of an imaginary stork and a large department store, he institutes a boycott against the apartment house.",0.0,0.0,https://image.tmdb.org/t/p/original/oLg2NaqS20MuI8xfk6bhns2opiM.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,Der Tunnel,1915,Sci-Fi,GERMANY,https://rarefilmm.com/2020/11/der-tunnel-1915/,https://rarefilmm.com/wp-content/uploads/2020/11/dertunnel.jpg,"Max Allan, a visionary engineer persuades investors to fund building an undersea railway connecting France to the United States. But there are powerful forces who wants to stop his futuristic dream.",5.0,2.0,https://image.tmdb.org/t/p/original/iOx6kFuwfBwKFpPVTbswjEjd41B.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
872,En rade,1927,Silent,FRANCE,https://rarefilmm.com/2020/11/en-rade-1927/,https://rarefilmm.com/wp-content/uploads/2020/11/enrade.jpg,"The emotional and fearful relationship between a small bar waitress, bullied by her mother, distraught by her customers, the dockworkers, and Jean, the son of the laundress who dreams of other horizons. A simple-minded man interferes, fascinated by the young girl and the boats that are moving away.",6.3,4.0,https://image.tmdb.org/t/p/original/ckPdO9lyXy90FBntAc5XM1sR8m5.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
873,Paparazzi,1964,Documentary,FRANCE,https://rarefilmm.com/2020/11/paparazzi-1964/,https://rarefilmm.com/wp-content/uploads/2020/11/paparazzi.jpg,"Paparazzi explores the relationship between Brigitte Bardot and groups of invasive photographers attempting to photograph her while she works on the set of Jean-Luc Godard’s film Le Mépris (Contempt). Through video footage of Bardot, interviews with the paparazzi, and still photos of Bardot from magazine covers and elsewhere, director Rozier investigates some of the ramifications of international movie stardom, specifically the loss of privacy to the paparazzi. The film explains the shooting of the film on the island of Capri, and the photographers’ valiant, even foolishly dangerous, attempts to get a photograph of Bardot.",7.1,11.0,https://image.tmdb.org/t/p/original/ryJseQE3NrEKdwFVvhYzDPBKOBu.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
874,Liliom,1930,Drama,USA,https://rarefilmm.com/2020/11/liliom-1930/,https://rarefilmm.com/wp-content/uploads/2020/11/lilliom.jpg,"Liliom, a merry-go-round barker at a Budapest amusement park, becomes enamored of Julie, a servant girl, and though under the influence of Madame Muskat, a sideshow entrepreneur, he marries the girl. Although he has not been a good provider, Liliom is spurred into action by the discovery that his wife is pregnant and eventually is influenced by his friend Buzzard, to rob a bank cashier so that he can take Julie to America.",6.6,14.0,https://image.tmdb.org/t/p/original/jHyMnjZFBR64MtaTblepjUUBJYe.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
875,Die Beischlafdiebin,1998,Drama,GERMANY,https://rarefilmm.com/2020/11/die-beischlafdiebin-1998/,https://rarefilmm.com/wp-content/uploads/2020/11/Die-Beischlafdiebin.jpg,"Petra professionally works as a thief abroad to finance the studies of her younger sister Franziska in Germany. When she returns, she realizes that her sister has a secret, too.",5.5,6.0,https://image.tmdb.org/t/p/original/jIR3LMo3BDYz19wTgSqpAtievAh.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
876,El regalo de Silvia,2003,Drama,CHILE,https://rarefilmm.com/2020/11/el-regalo-de-silvia-2003/,https://rarefilmm.com/wp-content/uploads/2020/11/regalodesilvia.jpg,"Silvia, an adolescent, has made the most crucial decision in her life; to commit suicide. But before she does so, she makes it clear in her video-diary that she wishes to donate her organs. Carlos, a middle-aged man with uncertain work prospects and the responsibility of a family receives Silvia’s heart. Inés, blind from birth and cut off from the world around her receives her corneas, and Mateo, a lonely, misunderstood young man, her liver. Three anonymous people who receive Silvia’s gift, a new chance to live. What made Silvia take the decision to end her life? Why is this the solution she yearned for so much, the explanation to her existence and her freedom?",5.8,3.0,https://image.tmdb.org/t/p/original/An19lkz9C3KZIWZsGxxyH6yErDl.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
877,Le grain de sable,1983,Comedy,FRANCE,https://rarefilmm.com/2020/11/le-grain-de-sable-1983/,https://rarefilmm.com/wp-content/uploads/2020/11/legrain.jpg,A middle-aged woman coping with an ungovernable present and holding out hopes of escaping to a more pleasant past. She leaves her current residence to retreat to her provincial French hometown.,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,A Child’s Garden and the Serious Sea,1991,Experimental,USA,https://rarefilmm.com/2020/11/a-childs-garden-and-the-serious-sea-1991/,https://rarefilmm.com/wp-content/uploads/2020/11/achildsgarden.jpg,"Stan Brakhage uses his wife’s childhood backyard and depictions of the sea to create a meditation on memory, life, and consciousness. This 1991 film is part of his “Vancouver Island Quartet.”",8.0,2.0,https://image.tmdb.org/t/p/original/pVQZgvrRh5AJfBBZrctdNuwW0rt.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
